,iso_alpha3,iso_alpha2,country_name,region_name,continent_name
0,ALA,AX,Aland Islands,Northern Europe,Europe
1,BVT,BV,Bouvet Island,Antarctica,Antarctica
2,ESH,EH,Western Sahara,Northern Africa,Africa
3,GGY,GG,Guernsey,Western Europe,Europe
4,SGS,GS,South Georgia and the South Sandwich Islands,Antarctica,Antarctica
5,HMD,HM,Heard Island and McDonald Islands,Antarctica,Antarctica
6,IMN,IM,Isle of Man,Western Europe,Europe
7,IOT,IO,British Indian Ocean Territory,Southern Asia,Asia
8,JEY,JE,Jersey,Western Europe,Europe
9,XKX,XK,Kosovo,Southern Europe,Europe
10,PCN,PN,Pitcairn,Polynesia,Oceania
11,SJM,SJ,Svalbard and Jan Mayen,Northern Europe,Europe
12,ATF,TF,French Southern Territories,Antarctica,Antarctica
13,TKL,TK,Tokelau,Polynesia,Oceania
14,VAT,VA,Vatican,Southern Europe,Europe
